Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BeamActuatorDriverBoard.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\BeamActuatorDriverBoard_wc\BeamActuatorDriverBoard.PrjPcb|ReportField=Title~Bill of Materials For Project [BeamActuatorDriverBoard.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~52|ReportField=ReportTime~10:18:55 AM|ReportField=ReportDate~8/2/2016|ReportField=ReportDateTime~8/2/2016 10:18:55 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=AdditionalInfoLine1~<Additional Information Line 1>|ReportField=AdditionalInfoLine2~<Additional Information Line 2>|ReportField=Address1~NASA Johnson Space Center|ReportField=Address2~2101 NASA Parkway|ReportField=Address3~Houston Tx, 77058|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~<Approver Name>|ReportField=Author~|ReportField=CageCode~21356|ReportField=CheckedBy~<Checker Name>|ReportField=CompanyName~NATIONAL AERONAUTICS AND SPACE ADMINISTRATION|ReportField=CurrentDate~8/2/2016|ReportField=CurrentTime~10:18:52 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\BeamActuatorDriverBoard_wc\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~<DocumentNumber>|ReportField=DrawingType~<Ref. Table 3.2-1 of JPR8500>|ReportField=DrawnBy~<Drafter Name>|ReportField=Engineer~<Engineer Name>|ReportField=FormatNumber~L26JUL07|ReportField=ImagePath~|ReportField=ModifiedDate~8/1/2016|ReportField=NextAssembly~<Next Assembly>|ReportField=Organization~LYNDON B. JOHNSON SPACE CENTER   HOUSTON, TEXAS|ReportField=OrgCode~<OrgCode>|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=1200:MediaType=1:DitherType=10:PaperKind=PostScript Custom Page Size:PrintScaleMode=0|ReportField=Project~Project Name|ReportField=ProjectName~BeamActuatorDriverBoard.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~N/A|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=Title1~Title Line 1|ReportField=Title2~Title Line 2|ReportField=Title3~Title Line 3|ReportField=DataSourceFileName~BeamActuatorDriverBoard.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\BeamActuatorDriverBoard_wc\BeamActuatorDriverBoard.PrjPcb
1|Cap1|Capacitor|C1, C2, C7, C8|CAPR5-4X5|Cap2|4
2|Cap2|Capacitor|C3, C4, C5, C6|CAPR5-4X5|Cap2|4
3|GREEN LED|Typical RED GaAs LED|D1, D10|LED-1|LED1|2
4|RED LED|Typical RED GaAs LED|D2, D3, D4, D5, D6, D7, D8, D9|LED-1|LED1|8
5|3.3V PS|Header, 2-Pin|J1|HDR1X2|Header 2|1
6|12V PS|Header, 2-Pin|J2|HDR1X2|Header 2|1
7|Header 18X2|Header, 18-Pin, Dual row|J3|HDR2X18|Header 18X2|1
8|Header 8X2|Header, 8-Pin, Dual row|J4|HDR2X8|Header 8X2|1
9|4-40||MH1, MH2, MH3, MH4|MountHole4-40|Mounting Hole 4-40|4
10|Res2|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9|AXIAL-0.3|Res1|9
11|Res1|Resistor|R10, R11, R12, R13, R14, R15, R16, R17|AXIAL-0.3|Res1|8
12|Res3|Resistor|R18|AXIAL-0.3|Res1|1
13|TLE 5206-2S|Infineon TLE 5206-2S Hbridge|U1, U2, U3, U4, U5, U6, U7, U8|TLE 5206-2|TLE 5206-2S|8
